Target Geo Id2,Percent
17179,1.7
17181,2.8
17183,2.1
17185,2.7
17187,5.5
17189,1
17191,1
17193,1.4
17195,2.8
17197,11.7
17199,1.8
17201,7.6
17203,1.1
18,4.7
18001,0.7
18003,6.2
18005,7.6
18007,1.6
18009,0.9
18011,3.4
18013,0.9
18015,2.5
18017,8.3
18019,3.7
18021,0.5
18023,6.5
18025,0.7
18027,2.2
18029,1.1
18031,1.9
18033,1.1
18035,2
18037,3.6
18039,8.5
18041,0.7
18043,2.8
18045,1.3
18047,0.8
18049,2.9
18051,1
18053,1.5
18055,0.7
18057,7.2
18059,1.5
18061,1.1
18063,4.2
18065,0.9
18067,2
18069,1.5
18071,5.6
18073,2.3
18075,1.1
18077,2
18079,1.2
18081,3.8
18083,1.3
18085,4.1
18087,1.9
18089,6.7
18091,3
18093,1.4
18095,2
18097,8.5
18099,4.2
18101,0.8
18103,1.2
18105,7.9
18107,2.6
18109,1.4
18111,2
18113,4.9
18115,0.2
18117,0.4
18119,1.1
18121,1.2
18123,0.4
18125,0.4
18127,3.7
18129,1.1
18131,0.8
18133,1.8
18135,0.9
18137,1.4
18139,0.5
18141,5.7
18143,1.2
18145,2.4
18147,2
18149,1.8
18151,2
18153,1
18155,1.8
18157,10.4
18159,1.8
18161,0.8
18163,2.5
18165,0.3
18167,3.3
18169,1.6
18171,1.1
18173,2.5
18175,0.7
18177,2
18179,1.2
18181,3.5
18183,1
19,4.5
19001,1.1
19003,0.6
19005,4.3
19007,1
19009,0.6
19011,1.1
19013,4.8
19015,0.9
19017,0.6
19019,1
19021,18.6
19023,0.6
19025,0.7
19027,0.8
19029,1
19031,1.3
19033,2.1
19035,0.9
19037,1.8
19039,5.5
19041,2.2
19043,1.4
19045,1.5
19047,12.8
19049,6.6
19051,0.8
19053,1.5
19055,0.8
19057,1.5
19059,1
19061,1.9
19063,5.1
19065,0.9
19067,1.4
19069,5
19071,0.7
19073,1.2
19075,0.4
19077,1.1
19079,2.2
19081,1.8
19083,2.5
19085,0.9
19087,3.3
19089,1.1
19091,2
19093,0.5
19095,1.4
19097,0.8
19099,1.1
19101,12
19103,9.3
19105,1
19107,0.5
19109,1
19111,2
19113,2.9
19115,8.1
19117,5.8
19119,1.1
19121,1.4
19123,1.5
19125,2.3
19127,12.1
19129,0.8
19131,1.4
19133,0.9
19135,4.3
19137,1.3
19139,6
19141,2.8
19143,4.5
19145,2
19147,1.3
19149,1.8
19151,1.8
19153,8.5
19155,3.3
19157,3.1
19159,0.7
19161,1.2
19163,3.4
19165,2
19167,6.3
19169,8.3
19171,2.8
19173,3.4
19175,1
19177,0.8
19179,6.8
19181,1.2
19183,2.7
19185,0.8
19187,2.2
19189,3.2
19191,2.1
19193,8.3
19195,1.1
19197,4.5
20,6.7
20001,1.3
20003,0.1
20005,0.7
20007,1
20009,6.7
20011,1.1
20013,1.4
20015,1.8
20017,1.8
20019,1.1
20021,0.9
20023,3
20025,4.1
20027,0.7
20029,2.1
20031,0.9
20033,2
20035,3.8
20037,3.4
20039,1
20041,1.2
20043,1.3
20045,6.5
20047,11.9
20049,2.2
20051,2.6
20053,2.2
20055,20.9
20057,25.4
20059,1.2
20061,7.3
20063,0.4
20065,0.9
20067,14.6
20069,9.7
20071,3.2
20073,0.3
20075,13.2
20077,2.2
20079,4.7
20081,16.7
20083,5.4
20085,1.2
20087,0.4
20089,1
20091,8.1
20093,13.2
20095,0.8
20097,2.4
20099,1.1
20101,1.7
20103,3.5
20105,2.1
20107,0.6
20109,3.1
20111,9.4
20113,1.8
20115,1.4
20117,1
20119,8.4
20121,0.9
20123,0.6
20125,3.2
20127,0.6
20129,10.2
20131,1
20133,2.1
20135,1.9
20137,2.2
20139,0.9
20141,0.9
20143,1
20145,2.2
20147,0.9
20149,2.2
20151,2.6
20153,2.5
20155,2.5
20157,0.6
20159,3.8
20161,6.4
20163,1
20165,0.9
20167,0.7
20169,5.1
20171,13.4
20173,8.4
20175,32.2
20177,4.6
20179,0.7
20181,2.4
20183,0.4
20185,6.2
20187,19
20189,20.2
20191,0.7
20193,2.3
20195,1.5
20197,0.7
20199,5
20201,2.3
20203,13.8
20205,1.1
20207,0.5
20209,14.6
21,3.3
21001,0.9
21003,1.4
