fips,2010,2011,2012,2013,2014
12049,27767,27684,27414,27410,27469
12051,39044,38816,37686,37750,38505
12053,172947,172853,173102,174205,175855
12055,98703,98360,98087,97919,98236
12057,1234145,1271720,1282032,1294145,1316298
12059,19861,19821,19725,19649,19650
12061,138235,138973,140608,142021,144755
12063,49618,49126,48980,49000,48801
12065,14745,14496,14193,14192,14050
12067,8812,8808,8802,8846,8835
12069,297910,299886,303450,308115,315690
12071,620521,631412,644988,661336,679513
12073,276063,278320,283854,282184,283988
12075,40716,40267,39997,39694,39613
12077,8343,8233,8247,8328,8360
12079,19255,19105,18915,18713,18518
12081,323510,327458,334071,342417,351746
12083,331527,332507,334495,336159,339167
12085,146978,147595,148846,151478,153392
12086,2508689,2579916,2610960,2641866,2662874
12087,73226,74151,74991,76536,77136
12089,73543,74159,74640,75628,76619
12091,180751,183314,190437,193906,196512
12093,40039,39441,39285,39076,39149
12095,1148953,1170411,1202076,1226764,1253001
12097,269811,278755,288970,299498,310211
12099,1324241,1338609,1358613,1376199,1397710
12101,465541,466552,470604,475695,485331
12103,916701,917979,922265,930109,938098
12105,603359,609696,615764,623159,634638
12107,74221,73928,73119,72543,72143
12109,191257,196025,202264,209544,217919
12111,278268,280779,283559,286307,291028
12113,152870,155697,158398,160811,163422
12115,379952,381513,386050,390242,396962
12117,423012,427036,431405,436706,442516
12119,94287,98598,102823,108483,114350
12121,42320,43385,43576,43718,44022
12123,22573,22678,22739,22879,22582
12125,15537,15239,15239,15086,15190
12127,494625,494458,497092,501201,507531
12129,30853,30953,30823,31016,31432
12131,55255,55640,57275,59403,61530
12133,24760,24596,24857,24635,24451
13001,18337,18458,18379,18391,18540
13003,8365,8364,8247,8287,8223
13005,11090,11191,11186,11230,11281
13007,3443,3323,3369,3321,3255
13009,45685,45081,46455,46139,45909
13011,18403,18330,18232,18325,18295
13013,69681,69846,70171,71425,73240
13015,100113,100242,100477,101289,101736
13017,17639,17599,17545,17490,17464
13019,19345,19342,19063,19005,18700
13021,155630,155850,156184,154615,153905
13023,13054,13059,12897,12755,12795
13025,18465,18581,18555,18299,18417
13027,16278,15968,15537,15631,15418
13029,30401,31238,32246,33133,33906
13031,70638,72842,72824,71308,72087
13033,23360,23559,23128,22925,22709
13035,23739,23562,23454,23222,23368
13037,6712,6549,6502,6517,6463
13039,50689,50332,51402,51517,52027
13043,11017,11304,11125,10944,10888
13045,110704,110722,111453,112388,114093
13047,64020,64839,64961,65335,65621
13049,12831,13410,13308,13044,12897
13051,265996,272002,276710,278428,283379
13053,11179,11293,12570,12350,11837
13055,25980,25705,25676,25120,24939
13057,215216,217770,220914,224869,230985
13059,117484,118509,120270,121206,120938
13061,3160,3150,3102,3037,3102
13063,259824,262643,266253,264843,267542
13065,6788,6750,6715,6802,6831
13067,689692,697682,708036,718208,730981
13069,42738,42964,43093,43129,42811
13071,45648,45804,46095,46288,46102
13073,124955,128753,132556,136287,139257
13075,17226,16979,16859,17025,17214
13077,127946,129480,130878,133222,135571
13079,12587,12605,12619,12481,12387
13081,23407,23785,23657,23232,22934
13083,16630,16591,16551,16502,16389
13085,22300,22214,22376,22651,22957
13087,27821,27663,27463,27372,27220
13089,692574,697953,708304,714935,722161
13091,21789,21462,21353,21243,20976
13093,14838,14548,14326,14313,14188
13095,94530,94839,94542,93130,92407
13097,132644,133280,133926,136560,138776
13099,10963,10742,10605,10511,10491
13101,4027,4096,3965,3997,4003
13103,52446,52673,53337,54488,55423
13105,20101,19823,19593,19514,19438
13107,22609,22581,22849,22861,22755
13109,11006,10965,10660,10813,10898
13111,23688,23505,23467,23746,23753
13113,106990,107211,107432,108355,109664
13115,96393,96182,96066,96025,96063
13117,176737,182392,187826,195312,204302
13119,22066,21957,21923,22044,22264
13121,926149,950359,977950,984721,996319
13123,28306,28280,28205,28587,28829
13125,3064,3108,3120,3083,3053
13127,79802,80216,80960,81533,82175
13129,55204,55508,55740,55830,56047
13131,25047,25165,25366,25258,25359
13133,15992,16051,16132,16283,16490
13135,808374,824981,840221,858956,877922
13137,43095,43106,43463,43294,43752
13139,180034,182954,185084,187759,190761
13141,9410,9368,9030,8898,8509
13143,28788,28515,28388,28482,28641
13145,32167,32366,32613,32673,32876
13147,25189,25435,25549,25480,25377
13149,11851,11711,11644,11561,11603
13151,205206,207071,208443,210755,213869
13153,140721,144161,146200,147919,149111
13155,9601,9692,9600,9412,9104
13157,60777,60551,60472,60971,61870
13159,13885,13778,13596,13543,13432
13161,15091,15088,15114,14986,14859
13163,16919,16816,16422,16342,16272
13165,8321,8122,9133,9268,9125
13167,9973,9918,9882,9776,9701
13169,28656,28910,28795,28769,28787
13171,18268,18178,18039,17946,18207
13173,10099,10468,10444,10398,10373
13175,48389,48003,47970,47927,47851
13177,28431,28614,28727,29061,29191
13179,62686,65115,65391,64057,65198
13181,7991,7898,7770,7719,7622
13183,14679,15243,16161,16641,17113
13185,109700,111882,114668,112802,113523
13187,30309,30482,30721,30908,31176
13189,21822,21621,21581,21421,21370
13191,14307,14237,13922,14180,14214
13193,14655,14479,14274,13961,13792
13195,28155,28110,28018,28116,28312
13197,8747,8737,8751,8721,8797
13199,21843,21606,21316,21207,21198
13201,6155,6074,5982,5917,5958
13205,23509,23445,23121,23027,22771
13207,26469,26673,26741,27005,27051
13209,9088,9039,8909,8973,8991
13211,17895,17906,17823,17752,17956
13213,39548,39428,39394,39298,39410
13215,191082,195272,200041,203952,200887
13217,100160,100464,101016,102201,103675
13219,32927,33255,33520,34050,35093
13221,14910,14784,14597,14512,14673
13223,142763,143829,145066,147181,148987
13225,27772,27577,27510,26905,26922
13227,29458,29468,29316,29509,29997
13229,18802,18723,18835,18948,18991
13231,17918,17802,17804,17796,17784
13233,41532,41283,41127,41177,41133
13235,11919,11851,11680,11531,11483
13237,21208,21261,21161,21310,21192
13239,2505,2459,2398,2366,2315
13241,16258,16279,16307,16247,16243
13243,7672,7579,7308,7185,7313
13245,201015,200595,201966,201276,201368
13247,85425,85601,85684,86815,87754
13249,5021,5025,4989,5072,5163
13251,14511,14393,14200,14216,14085
13253,8733,8782,8915,8903,8686
13255,64085,64118,63799,63741,63988
13257,26155,25751,25725,25595,25480
13259,6110,6070,6090,5484,5744
13261,32707,32095,31631,31357,31232
13263,6834,6760,6538,6449,6390
13265,1708,1715,1681,1693,1693
13267,25491,25281,25305,25477,25224
13269,8781,8478,8381,8441,8442
13271,16494,16317,16429,16705,16518
13273,9525,9398,9247,9214,9132
13275,44742,44588,44530,44848,44959
13277,40246,41380,40994,40280,40704
